workflow_id,commit_sha,task,category,horizon,condition,rep,model,provider,model_tier,benchmark_profile,passed,acceptance_oracle_passed,project_tests_passed,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,tokens,cost_usd,rework_turns,governance_turns,llm_turns,wall_clock_s,stop_reason,expected_file_count,written_file_count,language_count,tool_schema_hashes
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T1,feature_addition,standard,UNGOVERNED,9,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,13380,2246,9950,2600,15626,0.092755,1,0,5,19.954,done,2,2,0,10567ce061bd9dc2
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T1,feature_addition,standard,UNGOVERNED,10,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,13380,2176,9950,2600,15556,0.090655,1,0,5,20.067,done,2,2,0,10567ce061bd9dc2
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,1,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,6678,2624,3253,3419,9302,0.101745,1,2,2,19.944,done,2,2,0,0747e73f6798e4fd
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,2,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,16072,3716,13012,3048,19788,0.137096,2,3,4,31.944,done,2,2,0,0747e73f6798e4fd
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,3,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,6673,2639,6506,161,9312,0.083459,1,2,2,22.532,done,2,2,0,0747e73f6798e4fd
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,4,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,6674,2635,6506,162,9309,0.083346,1,2,2,20.852,done,2,2,0,0747e73f6798e4fd
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,5,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,6674,2629,6506,162,9303,0.083165,1,2,2,22.075,done,2,2,0,0747e73f6798e4fd
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,6,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,6672,2601,6506,160,9273,0.082313,1,2,2,20.842,done,2,2,0,0747e73f6798e4fd
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,7,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,6677,2624,6506,165,9301,0.083034,1,2,2,20.26,done,2,2,0,0747e73f6798e4fd
30210886840,75a8c7911187abe8db2b6ca77f0e08fa7859ffe7,T10,feature_addition,standard,SPECSMITH_FULL,8,gpt-5.6-sol,openai,frontier,substitution-release,True,True,True,6673,2621,6506,161,9294,0.082919,1,2,2,22.377,done,2,2,0,0747e73f6798e4fd
