workflow_id,commit_sha,task,category,horizon,condition,rep,model,provider,model_tier,benchmark_profile,passed,acceptance_oracle_passed,project_tests_passed,input_tokens,output_tokens,cached_input_tokens,cache_write_tokens,tokens,cost_usd,rework_turns,governance_turns,llm_turns,wall_clock_s,stop_reason,expected_file_count,written_file_count,milestones_completed,milestones_total,tokens_per_completed_milestone,language_count,tool_schema_hashes
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,1,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,92422,2031,64844,0,94453,0.231242,1,0,8,42.264,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,2,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,70798,2307,47965,0,73105,0.207357,1,0,7,48.168,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,3,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,148124,3691,104768,0,151815,0.379894,2,0,11,73.754,done,6,4,1,3,151815.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,4,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,86618,2047,57785,0,88665,0.234468,1,0,7,45.94,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,5,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,122497,5589,85676,0,128086,0.394613,2,0,12,89.13,max_turns,6,3,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,6,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,80622,2049,60580,0,82671,0.19197,1,0,7,45.977,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,7,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,127495,8016,80564,0,135511,0.515417,3,0,12,145.88,max_turns,6,4,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,8,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,67831,3335,46032,0,71166,0.232061,1,0,7,56.847,done,6,4,1,3,71166.0,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,9,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,63586,1806,37520,0,65392,0.20327,1,0,6,33.906,done,6,1,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,CURSOR_RULES,10,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,132287,3906,94464,0,136193,0.353527,2,0,12,82.533,max_turns,6,3,0,3,,2,073d5dee7650d228
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,1,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,51990,7155,28068,0,59145,0.348294,3,3,7,86.846,done,6,6,3,3,19715.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,2,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,85026,9012,51290,0,94038,0.464685,6,3,11,121.129,done,6,6,3,3,31346.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,3,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,107311,6813,55639,0,114124,0.490569,12,5,12,113.358,max_turns,6,3,1,3,114124.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,4,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,85590,5770,46822,0,91360,0.390351,4,4,10,92.696,text_response,6,3,2,3,45680.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,5,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,52084,6943,32788,0,59027,0.321164,3,3,7,83.787,done,6,6,3,3,19675.667,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,6,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,87999,9929,51164,0,97928,0.507627,7,3,11,144.276,done,6,6,3,3,32642.667,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,7,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,51969,7103,32788,0,59072,0.325389,3,3,7,84.062,done,6,6,3,3,19690.667,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,8,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,69933,7996,41976,0,77929,0.400653,5,3,9,103.855,done,6,6,3,3,25976.333,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,9,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,False,False,False,104647,6201,55401,0,110848,0.45996,15,5,12,103.303,max_turns,6,3,1,3,110848.0,2,cf28361d99c24f40
30589098641,f2bedf1e06a7da2b27152754c69b15d5584b43d3,T30,real_repository_maintenance,long,SPECSMITH_FULL,10,gpt-5.6-sol,openai-responses,frontier,publication-real-repository-recovery,True,True,True,71080,9635,42102,0,80715,0.454991,4,3,9,120.851,done,6,6,3,3,26905.0,2,cf28361d99c24f40
